               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.026983,            0.010507,           0.0008376,             0.94582,             0.92578,             0.96204,             0.67998,            0.022766,           0.0042628,          0.00088258,            0.008317,            0.008317,            0.008317
                  36,            0.026977,             0.01055,          0.00077078,             0.93942,             0.92369,             0.96196,             0.68283,            0.022622,           0.0042055,          0.00040742,           0.0082675,           0.0082675,           0.0082675
                  37,            0.026813,            0.010493,          0.00094427,             0.93453,             0.92985,             0.96363,             0.68469,            0.022938,           0.0041903,          0.00034049,            0.008218,            0.008218,            0.008218
                  38,            0.026768,            0.010361,          0.00098351,             0.94456,             0.92872,             0.96314,             0.68257,            0.022521,           0.0042142,          0.00044586,           0.0081685,           0.0081685,           0.0081685
                  39,            0.026935,            0.010567,          0.00077306,             0.94851,              0.9303,             0.96813,             0.69394,            0.022183,           0.0041334,          0.00043816,            0.008119,            0.008119,            0.008119
                  40,            0.026693,            0.010278,          0.00080057,             0.93902,             0.93291,             0.96439,             0.69233,            0.022528,           0.0041808,          0.00038937,           0.0080695,           0.0080695,           0.0080695
                  41,            0.026299,            0.010159,          0.00073785,             0.94034,             0.93077,             0.96402,             0.69336,            0.022034,           0.0041085,          0.00038876,             0.00802,             0.00802,             0.00802
                  42,            0.026299,            0.010213,          0.00067206,             0.95209,             0.93628,             0.96683,             0.69581,            0.022536,           0.0040924,          0.00025736,           0.0079705,           0.0079705,           0.0079705
                  43,            0.026338,            0.010354,          0.00086334,             0.94092,             0.93832,             0.96526,             0.69009,            0.022014,           0.0041438,          0.00040862,            0.007921,            0.007921,            0.007921
                  44,             0.02629,            0.010281,          0.00068561,             0.93498,              0.9344,             0.96422,              0.6935,            0.021989,            0.004078,           0.0003752,           0.0078715,           0.0078715,           0.0078715
                  45,            0.026151,             0.01021,          0.00082632,             0.94665,             0.93239,             0.96761,             0.69575,            0.022149,           0.0040964,          0.00036083,            0.007822,            0.007822,            0.007822
